Player,Pos,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
Len Ford\FordLe00,DE,4,4,10,0,125,,,,,,,,,,67,1175,8,0
Jim Taylor\TaylJi00,FB,1,5,9,84,133,,,,,,1941,8597,83,84,225,1756,10,41
Rosey Brown\BrowRo04,T,6,9,13,55,162,,,,,,,,,,,,,
George Connor\ConnGe00,T,4,4,7,0,91,,,,,,,,,,5,89,0,25
Dante Lavelli\LaveDa00,E,0,3,10,0,123,,,,,,2,23,0,14,386,6488,62,72
Lenny Moore\MoorLe00,HB,5,7,10,61,143,3,12,33,2,2,1069,5174,63,79,363,6039,48,82
Tony Canadeo\CanaTo00,HB,1,0,8,0,116,105,268,1642,16,20,1025,4197,26,54,69,579,5,46
Bill George\GeorBi00,LB,8,8,14,62,173,,,,,,,,,,,,,
Lou Groza\GrozLo20,T,4,9,12,28,268,1,4,-7,0,1,,,,,1,23,1,23
Night Train Lane\LaneDi00,DB,3,7,12,55,157,,,,,,,,,,8,253,1,98
Raymond Berry\BerrRa00,E,3,6,13,61,154,,,,,,,,,,631,9275,68,70
Jim Parker\ParkJi00,T,8,8,10,77,135,,,,,,,,,,,,,
Joe Schmidt\SchmJo00,LB,8,10,13,55,155,,,,,,,,,,,,,
Gino Marchetti\MarcGi00,DE,7,11,13,59,161,,,,,,,,,,1,36,1,19
"Matson, Ollie",RB,5,6,9,17,171,5,15,119,0,1,1170,5173,40,79,222,3285,23,96
Ace Parker\ParkAc20,TB,2,0,5,0,68,335,718,4698,30,50,498,1292,13,60,8,229,3,71
Jim Brown\BrowJi00,FB,8,9,9,108,118,4,12,117,3,0,2359,12312,106,80,262,2499,20,83
Bill Hewitt\HewiBi20,E,4,0,7,0,101,5,10,63,3,0,8,36,1,29,103,1638,23,45
Bruiser Kinard\KinaBr20,T,4,5,8,0,101,,,,,,,,,,5,62,1,36
Andy Robustelli\RobuAn00,DE,6,7,14,50,175,,,,,,,,,,2,75,1,49
"Tittle, Y.A.",QB,3,7,14,44,204,2427,4395,33070,242,248,372,1245,39,45,1,4,0,4
"Van Brocklin, Norm",QB,1,9,9,17,140,1553,2895,23611,173,178,102,40,11,16,,,,
Jack Christiansen\ChriJa00,DB,6,5,8,0,89,,,,,,19,143,2,65,3,32,0,11
Tom Fears\FearTo00,E,1,1,6,0,87,,,,,,5,15,0,10,400,5397,38,80
Hugh McElhenny\McElHu00,HB,2,6,10,20,143,2,7,13,1,1,1124,5281,38,89,264,3247,20,77
Pete Pihos\PihoPe00,E,5,6,9,0,107,,,,,,9,-4,0,5,373,5619,61,66
Turk Edwards\EdwaTu20,T,3,1,7,0,86,,,,,,,,,,,,,
Leo Nomellini\NomeLe00,DT,6,10,13,30,174,,,,,,1,5,0,5,,,,
Joe Perry\PerrJo00,FB,2,3,11,15,183,3,11,79,1,0,1929,9723,71,78,260,2021,12,70
Ernie Stautner\StauEr00,DT,1,9,13,25,173,,,,,,,,,,,,,
Cliff Battles\BattCl20,TB,3,0,5,0,60,44,157,590,1,15,839,3511,23,75,38,546,4,0
Art Donovan\DonoAr00,DT,4,5,11,17,138,,,,,,,,,,,,,
Elroy Hirsch\HirsEl00,E,2,3,9,0,127,12,22,156,1,2,207,687,3,51,387,7029,60,91
Wayne Millner\MillWa20,E,0,0,5,0,76,,,,,,14,62,0,8,124,1578,12,78
Marion Motley\MotlMa00,FB,2,1,7,0,105,0,3,0,0,0,828,4720,31,76,85,1107,7,78
Charley Trippi\TripCh00,HB,1,2,7,0,99,205,434,2547,16,31,687,3506,23,59,130,1321,11,62
Alex Wojciechowicz\WojcAl20,C,0,0,6,0,134,,,,,,,,,,4,44,0,13
Chuck Bednarik\BednCh00,LB,6,8,14,27,169,,,,,,,,,,,,,
"Layne, Bobby",QB,2,6,13,20,175,1814,3700,26768,196,243,611,2451,25,36,,,,
Ken Strong\StroKe20,FB,3,0,8,0,131,20,52,380,6,5,379,1228,24,2,22,254,7,0
Joe Stydahar\StydJo20,T,4,4,5,0,84,,,,,,,,,,1,9,0,9
Emlen Tunnell\TunnEm00,DB,4,9,11,6,167,1,2,23,0,0,17,43,0,15,5,39,0,14
Bill Dudley\DudlBi00,HB,1,3,8,0,90,81,222,985,6,17,765,3057,18,66,123,1383,18,80
Joe Guyon\GuyoJo20,WB,0,0,3,0,46,,,,,,0,0,7,0,0,0,1,0
Arnie Herber\HerbAr20,TB,1,1,7,0,129,481,1175,8041,81,106,250,116,3,1,11,155,3,25
Walt Kiesling\KiesWa20,G,1,0,7,0,125,,,,,,,,,,,,,
George McAfee\McAfGe20,HB,1,1,4,0,75,6,22,94,3,1,341,1685,21,70,85,1359,11,65
Bulldog Turner\TurnBu21,C,7,4,12,0,138,,,,,,1,48,1,48,1,2,0,2
Paddy Driscoll\DrisPa20,HB,6,0,9,0,118,,,,,,0,0,25,0,0,0,4,0
Danny Fortmann\FortDa20,G,6,3,8,0,86,,,,,,,,,,,,,
"Graham, Otto",QB,7,5,10,0,126,1464,2626,23584,174,135,405,882,44,36,,,,
"Luckman, Sid",QB,5,3,10,0,128,904,1744,14686,137,132,204,-239,4,40,1,15,0,15
Steve Van Buren\VanBSt00,HB,5,0,8,0,83,1,3,35,0,0,1320,5860,69,70,45,523,3,50
"Waterfield, Bob",QB,3,2,6,0,91,814,1617,11849,97,128,75,21,13,25,3,19,0,18
Ed Healey\HealEd20,T,4,0,7,0,88,,,,,,,,,,,,,
Clarke Hinkle\HinkCl20,FB,4,3,9,0,113,26,54,316,0,5,1171,3860,35,60,49,537,9,69
Link Lyman\LymaLi20,T,2,0,10,0,133,,,,,,,,,,0,0,2,0
Mike Michalske\MichMi20,G,5,0,9,0,122,,,,,,,,,,,,,
George Trafton\TrafGe20,C,2,0,9,0,148,,,,,,,,,,,,,
"Baugh, Sammy",QB,4,6,13,0,167,1693,2995,21886,187,203,324,325,9,41,1,0,0,0
Johnny Blood\BlooJo20,TB,0,0,8,0,137,24,70,299,4,5,120,386,5,0,67,1117,36,70
Dutch Clark\ClarDu20,TB,6,0,5,0,75,114,250,1507,11,26,606,2772,36,0,28,341,6,23
Red Grange\GranRe20,HB,2,0,2,0,96,24,71,346,10,10,170,569,21,0,16,288,10,36
